"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login Tests","1","0","Invalid Login","0"
"0","","0","Cart Tests","1","0","Validate items in cart after adding items from inventory page","0"
"0","","0","Inventory Tests","1","0","Add items to cart and verify badge count in Inventory Page","0"
"0","","0","Cart Tests","1","0","Validate Continue Shopping functionality from cart page","0"
"0","","0","Cart Tests","1","0","Verify cart page and URL after adding items to cart","0"
"0","","0","Inventory Tests","1","0","Verify inventory page","0"
"0","","0","Login Tests","1","0","Valid Login","0"
"0","","0","Checkout Tests","1","0","Verify checkout process from cart to order confirmation","0"
