"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1309","test_checkout","tests","2026-04-13","passed","2026-04-13","TestCheckout","checkout_test","",""
"","400","test_valid_login","tests","2026-04-13","passed","2026-04-13","TestLogin","login_test","",""
"","623","test_add_item_to_cart","tests","2026-04-13","passed","2026-04-13","TestInventory","inventory_test","",""
"","500","test_inventory","tests","2026-04-13","passed","2026-04-13","TestInventory","inventory_test","",""
"","797","test_cart","tests","2026-04-13","passed","2026-04-13","TestCart","cart_test","",""
"","730","test_continue_shopping","tests","2026-04-13","passed","2026-04-13","TestCart","cart_test","",""
"","377","test_invalid_login","tests","2026-04-13","passed","2026-04-13","TestLogin","login_test","",""
"","683","test_validate_items_in_cart","tests","2026-04-13","passed","2026-04-13","TestCart","cart_test","",""
